,SourceID,Dec,RA,status
102,4001300091352,0.6347189000000001,43.2084728,Unreferenced
103,4001300108079,0.0604225,322.4118519,Unreferenced
104,4001300648466,-11.4558829,189.9694709,Unreferenced
105,4001301452172,6.746932000000001,122.2582661,Unreferenced
106,4001301452312,6.7009774,122.275376,Unreferenced
107,4001302865692,62.26000550000001,188.9976578,Referenced
108,4001303238349,-18.4439617,177.3231739,Unreferenced
109,4001303241229,-44.4975195,342.1867364,Referenced
110,4001305198502,-1.0008841999999998,206.739028,Unreferenced
111,4001308198063,2.327598,150.0583931,Referenced
112,4001308202909,52.9400057,214.8661905,Referenced
113,4001309439521,18.5887346,130.5392631,Unreferenced
114,4001310193954,-13.9238562,28.3461675,Unreferenced
115,4001310675200,12.4761869,72.0858954,Unreferenced
116,4001311276633,2.7264735,136.94982280000002,Unreferenced
117,4001311276899,2.7471297000000003,136.9310429,Unreferenced
118,4001314341397,62.1634822,189.1712492,Referenced
119,4001316483707,37.7531825,109.4167938,Referenced
120,4001320622569,-11.7835567,195.4352326,Unreferenced
121,4001322903610,0.2461941,334.4380848,Referenced
122,4001323078734,-11.9778298,170.05210380000003,Unreferenced
123,4001327314324,43.2315864,119.4754658,Referenced
124,4001327314414,43.2386456,119.4790721,Unreferenced
125,4001327856463,-44.5131811,342.16246,Referenced
126,4001327858575,62.3447215,188.9811542,Unreferenced
127,4001329281492,-43.5152334,56.08192560000001,Unreferenced
128,4001365722217,-26.247699600000004,357.8526541,Unreferenced
129,4001369197203,-8.7892587,181.5321437,Referenced
130,4001387617095,16.1119717,151.81770319999995,Unreferenced
131,4001388995406,-12.5252528,208.5037056,Referenced
132,4001390753895,-11.7658431,163.601268,Unreferenced
133,4001392294751,52.7363098,214.7464804,Referenced
134,4001401153779,-1.3286177,197.8618079,Referenced
135,4001401154005,-1.3177898,197.876699,Referenced
136,4001402929063,17.056660100000002,6.7472878,Unreferenced
137,4001415001035,-36.1871234,53.46310250000001,Unreferenced
138,4001416472726,28.8358309,167.8259731,Unreferenced
139,4001416727970,70.3452343,151.36169569999996,Unreferenced
140,4001418352986,41.223642,151.1895242,Unreferenced
141,4001421835896,33.472706800000005,186.7568993,Unreferenced
142,4001424822399,55.7385984,211.3416728,Unreferenced
143,4001426951752,-1.033248,323.81044289999994,Referenced
144,4001426951789,-1.0319698,323.81739689999995,Unreferenced
145,4001430478874,69.1341833,148.5458291,Unreferenced
146,4001436210931,-0.0134035,352.9474506,Unreferenced
147,4001443301317,-53.7609693,265.2487267,Unreferenced
148,4001451500521,-64.4056889,340.4631678,Referenced
149,4001453853500,-12.6281615,185.8780669,Referenced
150,6000156575868,0.3209517,334.3463429,Referenced
151,6000157209240,37.752604,109.4166122,Unreferenced
152,6000161720320,27.8830158,195.3901861,Unreferenced
153,6000166613162,53.0963139,215.1661292,Unreferenced
154,6000172484251,62.2664142,189.3093977,Referenced
155,6000176034946,-3.8145338,332.9342419,Unreferenced
156,6000184983721,2.4567003,150.11893940000004,Referenced
157,6000188124465,-12.0394609,170.0822958,Unreferenced
158,6000204744520,35.0700282,216.1818145,Unreferenced
159,6000204754003,-11.9010262,64.4150781,Unreferenced
160,6000219315579,-58.46930749999999,31.4415799,Unreferenced
161,6000219605006,67.66460040000001,156.60614119999997,Unreferenced
162,6000219605888,67.65958420000001,156.6511272,Unreferenced
163,6000220278380,52.8765003,214.9548678,Referenced
164,6000221127782,42.2425354,90.8259143,Referenced
165,6000229842185,-27.857747600000003,53.154957,Referenced
166,6000230713837,39.4593682,116.211989,Referenced
167,6000233555256,39.4629619,116.198569,Unreferenced
168,6000236099508,-2.0529181,351.87465110000005,Unreferenced
169,6000242048926,39.4755551,116.216214,Unreferenced
170,6000242187468,-2.0549368,351.8602519,Unreferenced
171,6000248777381,-3.5094934,42.006359,Referenced
172,6000249449342,34.3039978,194.2781208,Unreferenced
173,6000253909054,-1.5821054,39.9715716,Referenced
174,6000253909309,-1.5867928999999998,39.9675481,Referenced
175,6000258163747,-1.3286874,197.8618372,Referenced
176,6000272897733,-3.5092422,42.0064595,Referenced
177,6000273727941,50.142036,173.2909794,Unreferenced
178,6000275304578,37.7291294,109.3940916,Referenced
179,6000275308358,1.9016486,150.4216003,Referenced
180,6000293229115,-27.9189908,53.1928929,Referenced
181,6000295495667,-0.3949489,139.0336244,Unreferenced
182,6000302271864,1.5103798000000002,168.9481439,Unreferenced
183,6000304728688,52.9494215,214.9571335,Referenced
184,6000305341152,32.7547842,189.6604589,Unreferenced
185,6000307024721,2.4202355,150.45970469999995,Referenced
186,6000309962577,62.1458518,189.2091091,Referenced
187,6000311193171,52.963897,215.071195,Referenced
188,6000313282509,2.3276830000000004,150.05803559999995,Referenced
189,6000313769937,9.1676702,9.2697584,Unreferenced
190,6000327769390,0.0945893,72.978291,Unreferenced
191,6000346383227,52.7911149,214.7087271,Referenced
192,6000346732940,24.0713299,215.9480185,Referenced
193,6000348857134,57.9064728,227.0566602,Unreferenced
194,6000349464184,-1.5667963,39.9754985,Referenced
195,6000351221146,-18.7237736,145.8253195,Unreferenced
196,6000356633094,35.610975,260.0553681,Unreferenced
197,6000376624988,53.0039622,215.1406453,Referenced
198,6000381115633,66.36325579999999,239.027474,Unreferenced
199,6000390804086,62.1985491,189.3448381,Referenced
200,6000390887640,53.3362539,168.81276369999995,Referenced
201,6000393007928,-59.9317524,330.4663177,Unreferenced
202,6000394504775,28.1266798,195.1928749,Unreferenced
203,6000395783568,-53.0253161,41.35016829999999,Unreferenced
204,6000395918837,-14.018448499999998,333.7368022,Unreferenced
205,6000396441170,-28.0846904,177.7248909,Unreferenced
206,6000397071777,-8.1723325,337.5259095,Unreferenced
207,6000397072166,-8.1609103,337.5432122,Referenced
208,6000402156276,-6.1474725,243.9165326,Unreferenced
209,6000402156277,-6.147628299999999,243.9164234,Unreferenced
210,6000402157313,-6.1420029000000005,243.9305924,Unreferenced
211,6000402278787,-1.5711363,39.9644968,Referenced
212,6000402578284,-1.5603981000000002,39.97337520000001,Referenced
213,6000403616074,-20.1207795,90.0405768,Unreferenced
214,6000403616863,-20.1447197,90.0265532,Unreferenced
215,6000403620755,-20.1383365,90.02259040000001,Unreferenced
216,6000407857353,44.6149981,25.72998410000001,Unreferenced
217,6000450859151,2.5079281000000004,149.7863216,Referenced
218,6000514385010,2.1156102000000003,150.52832,Referenced
219,6000535781579,2.5829863,150.4235888,Referenced
220,6000535891858,2.6315199,150.0935904,Referenced
