,SourceID,Dec,RA,status
0,4001156424176,18.0826518,155.42074209999996,Unreferenced
1,4001368788120,-24.1735671,64.122425,Unreferenced
2,4001418076626,-0.4584542,240.2999423,Unreferenced
3,6000186797547,27.867383,195.3608611,Unreferenced
4,6000341449179,24.9309763,128.7964924,Unreferenced
5,6000398415347,-81.0395802,139.7792782,Unreferenced
