,SourceID,RA,Dec,int_prediction,references,status
50,4000705578995,189.293817,62.19498929999999,0.9780002236366272,"['2018ApJS..235...34O', '2004ApJ...600L..93G', '2011PASJ...63S.379K', '2011PASJ...63S.379K', '2004ApJ...600L..93G', '2011PASJ...63S.379K', '2011PASJ...63S.379K']",Referenced
51,4000705579252,214.99869930000003,52.90613960000001,0.9836679100990297,"['2017ApJS..229...32S', '2011ApJS..193...30B']",Referenced
52,4000705579853,214.971573,52.9361983,0.9988588094711304,"['2011ApJS..193...30B', '2016ApJS..225...27M', '2012ApJ...751...50G', '2016ApJS..225...27M', '2017ApJS..229...32S', '2016ApJS..225...27M', '2017ApJS..229...32S', '2017ApJS..229...32S']",Referenced
53,4000705580061,214.9568186,52.9489743,0.9986183643341064,"['2011ApJS..193...30B', '2016ApJS..225...27M', '2016ApJS..225...27M', '2016ApJS..225...27M']",Referenced
54,4000705591193,11.5370471,40.73695479999999,0.9517198204994202,No_entry,Unreferenced
55,4000705592418,249.2454263,40.9130167,0.9821144938468932,No_entry,Unreferenced
56,4000705592438,249.2602294,40.915529,0.9994887113571168,No_entry,Unreferenced
57,4000705592452,249.2413721,40.9170957,0.9996519088745116,No_entry,Unreferenced
58,4000705592485,249.2510958,40.9191822,0.9710001349449158,No_entry,Unreferenced
59,4000705710827,163.13499230000005,57.5182575,0.9905085563659668,No_entry,Unreferenced
60,4000705711413,163.1261483,57.5337071,0.9792836904525756,No_entry,Unreferenced
61,4000705711430,163.1315622,57.5345018,0.9992960691452026,"['2010MNRAS.409L..13C', '2004A&A...427..773R']",Referenced
62,4000705711696,163.1337976,57.5435584,0.9999567270278932,No_entry,Unreferenced
63,4000705711883,163.18300359999995,57.5461723,0.9989776611328124,No_entry,Unreferenced
64,4000705712608,163.15388969999995,57.55864449999999,0.9894723296165466,No_entry,Unreferenced
65,4000705712778,163.1769822,57.5640311,0.9769691824913024,No_entry,Unreferenced
66,4000705764532,53.0624931,-27.7648928,0.9643316268920898,"['2015AJ....149..178M', '2007A&A...465.1099R', '2016ApJ...830...51S', '2015ApJ...803...34B']",Referenced
67,4000705764969,53.0708418,-27.7237762,0.9561903476715088,"['2011ApJ...743..146C', '2011ApJ...743..146C', '2003A&A...403..493M', '2011ApJ...743..146C', '2011ApJ...743..146C']",Referenced
68,4000705770505,23.8990776,30.4953378,0.951168179512024,No_entry,Unreferenced
69,4000705850503,186.8298166,33.510012800000005,0.9767056107521056,No_entry,Unreferenced
70,4000705850668,186.866959,33.5211253,0.9773799777030944,No_entry,Unreferenced
71,4000705850725,186.8298184,33.5253061,0.9532544016838074,No_entry,Unreferenced
72,4000705850743,186.8226544,33.526587400000004,0.979381024837494,No_entry,Unreferenced
73,4000705850769,186.8803145,33.5270706,0.9788113236427308,No_entry,Unreferenced
74,4000705850851,186.854538,33.5322902,0.9934712648391724,No_entry,Unreferenced
75,4000705850872,186.842305,33.5341438,0.9936550855636596,No_entry,Unreferenced
76,4000705850901,186.8274382,33.53485560000001,0.9970048069953918,['2003MNRAS.341....1M'],Referenced
77,4000705850924,186.8500064,33.5353865,0.9721250534057616,No_entry,Unreferenced
78,4000705850973,186.8704243,33.5380311,0.9960338473320008,No_entry,Unreferenced
79,4000705851034,186.8297661,33.540439,0.9558528065681458,['2009ApJ...693..617H'],Referenced
80,4000705851046,186.8312547,33.5410792,0.9848762750625608,['2009ApJ...693..617H'],Referenced
81,4000705851053,186.8484327,33.5425087,0.968558669090271,No_entry,Unreferenced
82,4000705851060,186.8437259,33.5419424,0.9908342957496644,No_entry,Unreferenced
83,4000705851123,186.8257398,33.54524310000001,0.969721496105194,No_entry,Unreferenced
84,4000705851207,186.8179776,33.5490135,0.955885648727417,No_entry,Unreferenced
85,4000705851229,186.8171649,33.550422600000005,0.9815442562103271,No_entry,Unreferenced
86,4000705851304,186.8173193,33.5548992,0.9809153079986572,['2009ApJ...693..617H'],Referenced
87,4000705851356,186.8213242,33.5581152,0.9753470420837402,['2009ApJ...693..617H'],Referenced
88,4000705851411,186.8387751,33.557422499999994,0.9653110504150392,No_entry,Unreferenced
89,4000705851425,186.8404774,33.557491,0.9975704550743104,No_entry,Unreferenced
90,4000706026409,170.1385504,13.0270258,0.9842891097068788,No_entry,Unreferenced
91,4000706026476,170.13824519999997,13.0221399,0.9590869545936584,No_entry,Unreferenced
92,4000706026783,170.15340980000005,13.0167849,0.9848459959030152,No_entry,Unreferenced
93,4000706027518,170.13527,13.0222474,0.9938030242919922,No_entry,Unreferenced
